,date,tital,user,dislike,like,rating,page_index
0,posted on 12 Aug 2020,Senior It Analyst for 7.8 years in Sydney , Anonymous · Former Employee · Retail Sales Division    ,Dislikes Don’t want to comment ,Likes I had a friendly team at TCS and work culture was so good. ,5.0,11
1,posted on 04 Aug 2020,Automation Test Engineer  in Pune, Anonymous · Software Testing Division    ,Dislikes some managers are thinking in a way that this is their own company and treating employees like their maid.,"Likes TCS is very supportive in career development area but while paying the money to the employee is I will say worst.
I have left the company in January 2020 but still waiting for my FFS.",5.0,11
2,posted on 09 Aug 2020,Team Member  in Pune, Anonymous · Banking & Finance Division    ,Dislikes Sry I am not diklike,Likes Tcs was not cutting any payment to any employees also they  r give leave how much employee want it is a no one company  in all world  .I fill proud to be a part of tcs,5.0,11
3,posted on 08 Aug 2020,Process Associate for 2.7 years in Vatika , Anonymous · Current Employee · India Colection  Division    ,Dislikes Leave it . Be positive .,"Likes Great work culture in this pendamic , we all are giving our 100%. Thank u so much to The great Mr Ratan tata. We need more people in our world  like Ratan tata sir.",5.0,11
4,posted on 31 Jul 2020,Assistant System Engineer  in Kolkata, Anonymous · Banking Division    ,Dislikes Nothing as such.,"Likes TCS is best among all the service based organizations in India. In this pandemic scenario where every other company is laying off people, I didn't hear a single person has to leave TCS. They are even providing certain amount of medical expenses for Covid treatment also. They are not businessman, they are industrialists and they prove it all the time. TCS is a 5 star organization.",5.0,11
5,posted on 04 Aug 2020,Quality Analyst for 3.6 years in Gurgaon, Anonymous · Current Employee · Life Science Division    ,Dislikes I never had bad experience in TCS,"Likes working with TCS is long lasting experience, such a good company providing many opportunities. Take care of employees first, known for ethics and values.",5.0,11
6,posted on 11 Aug 2020,Backup Teamleader for 5.2 years in Ambattur, Anonymous · Current Employee · Telecommunication Division    ,Dislikes Nothing from my end as dislike expect eb bill as of now,Likes Being proud to be a Tcs'r... Safety and comfortable zone to work with..... ,5.0,11
7,posted on 02 Aug 2020,Sales Executive  in Hyderabad , Anonymous · Health Insurance Division    ,Dislikes Nothing from my end as dislike expect eb bill as of now,"Likes Good work environment and culture. Teammates are supportive and the management is transplant. They is a huge cafeteria gaming arcade for chilling. Company policies are good, and they give salary hike. ",5.0,11
8,posted on 05 Aug 2020,It Analyst  in Mumbai, Anonymous · It Software Division    ,Dislikes Lesser learning opportunities.,"Likes Very good job security. But from learning perspective there ar some gaps, bt this happens in want domain and project you are working upon. Overall it was good and my 1st organisation. I feel proud.",5.0,11
9,posted on 27 Jul 2020,Assistant System Engineer  in Bangalore, Anonymous · Hardware & Networking Division    ,"Dislikes Dislike based on employees mind set only, if he/she interested to work any project they say good.","Likes 1. Job security.
2. More learning growth like other than your project that have conducted so many training sessions.
3. Proper dress coding same has been checked by security regularly.
4. In this COVID situation, proper asset management team, still they are planning different ways to finding the x to y employees should have assets in WFH location.",5.0,11
10,posted on 01 Aug 2020,Bps Analyst for 11 months in Pune, Anonymous · Former Employee · Claims Division    ,Dislikes Nothing like that...I really enjoyed a work... because by god's grace I was blessed with excellent team,Likes Tcs was such a good place with full of opportunities in different fields..but currently I'm not working I left TCS inn2018 due to higher studies,5.0,12
11,posted on 09 Aug 2020,Senior Process Associate  in Hyderabad, Anonymous · Finance Division    ,Dislikes Totally worst I don't like the company no work life balance worst managers ,Likes Totally worst don't join the Hyderabad office tcs ,1.0,12
12,posted on 06 Jun 2020,Senior Executive  in Gurgaon, Anonymous · Banking Division    ,Dislikes Just only one thing annual appraisal but I'm happy with that also nothing else.,"Likes Before Tcs I worked in three companies but seriously never ever felt experience like tcs. I didn't only got salary from tcs, I've learnt a lot things in my office. Seniors treat like parents they give us much opportunity to learn more and more. I'm just Band 1 but I'll never ever leave this company because it helped me and also supported me in my  bad days. I'll always serve in this company as my own company means I'll never treat myself just like a employee. In past I took part in social work from office side and I'll always ready to do any type of social work given by my office. I Love the environment of my office and behavior of my senior colleagues....Read More",5.0,12
13,posted on 30 Jul 2020,BPS Banking In Morgage  in Pune, Anonymous · BPS BANKING( CONSUMER FULFILLMENT) Division    ,Dislikes There is a lot of politics and the management doesn't address our issues. Salary is decent but career growth is slow.,Likes Good environment and supportive people,3.0,12
14,posted on 02 Aug 2020,It Analyst  in Hyderabad, Anonymous · Information Technology Division    ,"Dislikes Poor growth , need to fill time sheet daily (school attendance) else leave/pay cut","Likes No layoff, no salary cut until some grades, good opportunities inside organization but it's pure luck.",2.0,12
15,posted on 08 Aug 2020,Senior Engineer  in Bangalore , Anonymous · Process Automation Division    ,Dislikes Nothing,Likes It has been handled very well  ie work from home .i feel so proud that how it (wfh)has been carried out for each employees ,5.0,12
16,posted on 08 Aug 2020,Associate Consultant - IT  in Bangalore , Anonymous · IT consultant  Division    ,Dislikes Promotion policy is not transparent and QVA is almost never paid In full to senior associates ,Likes They have truly stood by each and everyone of its associates and treated us with utmost dignity in this difficult time. I will always be grateful to them.,5.0,12
17,posted on 10 Aug 2020,Senior Associate  in Mumbai , Anonymous · Bpo Division    ,Dislikes No growth and increment before covid also,"Likes Safe job. 
Wfh 
Good thing is -Medical facilities and secured job",3.0,12
18,posted on 05 Aug 2020,Business Process Lead  in Pune, Anonymous · Life Sciences-Pharmacovigilance Division    ,Dislikes Not got increment this year 19-20 due to this pandamic And we gone 1 year back in terms of own growth. This is very disappointing for me.,"Likes TCS HR department is in touch monthly and I got WFH facility for work.
Overall is good.",4.0,12
19,posted on 05 Aug 2020,System Engineer  in Gurgaon, Anonymous · Manufacturing Division    ,"Dislikes Honestly, it will make an intelligent person to dumb",Likes They are not supporting. They have lack of resources and the management at every level is just worried about customer no matter what happen with employee. Everyone is struggling for laptop and they asking to get desktop from. Baselocatiin,1.0,12
20,posted on 04 Aug 2020,Work Flow Specialist  in Chennai, Anonymous · Finance Division    ,Dislikes No compensation given for working employees during this critical situation.. they didn't even consider about maternity leave ladies..,Likes Company cares our employees during this covid 19 period by giving work from home,4.0,13
21,posted on 04 Aug 2020,It Analyst  in Hyderabad, Anonymous · It Software Division    ,"Dislikes Though Tata group is committed to values... Senior employees and RMG are not committed to values...
You will not get opportunities to work in latest technologies..
The technologies you work in TCS will not have demand in other companies",Likes Tata group is committed to values... you will have secured job even in this pandemic situation. ,5.0,13
22,posted on 04 Aug 2020,Software Engineer  in Hyderabad, Anonymous · IT Division    ,"Dislikes I would say work life balance, but I am pretty sure its ones personal ability how we balance it. Salary though is less for the effort we put.",Likes I am not working in TCS right now to answer this Question.,3.0,13
23,posted on 09 Aug 2020,Ast  in Hyderabad, Anonymous · Software Development Division    ,Dislikes Compensations and benifits,"Likes I like work culture, work life balance and support during pandemic is excellent",4.0,13
24,posted on 08 Aug 2017,Process Associate  in Chennai, Anonymous · BANKING AML KYC Division    ,Dislikes ALL THE ABOVE SAID COMMENTS ARE TRUE TO MY KNOWLEDGE AND EXPERIENCE BUT IT WAS NOT APPLICABLE OR AVAILABLE FOR SOME PEOPLE WHO ARE NOT ABLE TO COPE UP THE CULTURE IN TCS.,"Likes WHEN I TOOK A JOB IN TCS I'VE DECIDED NOT TO QUIT FROM THIS ORGANIZATION AND TAKING IT AS A ONE TIME CAREER OPPORTUNITY AND WORKED REALLY HARD TO FIND A BETTER POSITION OR ROLE IN MY FIRST TEAM AND AFTER ACHIEVING IT I GOT MOVED TO ONE ANOTHER TEAM WHERE THE CIRCUMSTANCES AREN'T REALLY ON MY SIDE DUE TO PROCESS MIGRATION I WAS MOVEDALONG WITH ALL MY TEAM MEMBERS BUT STILL GOT PLACED IN A GOOD TEAM RIGHT NOW AND I'M WORKING WITH THE GOOD PEOPLE SURROUNDED BY ME.
THIS STORY COULD REVEAL THAT TCS IS A PLACE WHERE YOU CAN GET LEARNING, GET TO KNOW NEW WORLD OF CORPORATE BUSINESSES, CHALLENGING ENVIRONMENT TO IMPROVE OURSELVES, LAST RESORT FOR ALL THE EMPLOYEES PERSONAL FINANCIAL ASSISTANCE, A VERY GOOD PLATFORM FOR ALL THE DEEDS ANS NEEDS, RIGHT PLACE TO EXPLORE AND EVOLVE AROUND THE GLOBE AND MORE LIKELY A FAMILY..,...Read More",5.0,13
25,posted on 03 Aug 2020,Developer  in Pune, Anonymous · Software Development Division    ,Dislikes I dont want to say so much  but I don't like  at jabalpur no any tcs corporate office. ,Likes Tcs company is also big brand of It and they are offering for work from home and during covid 19 they all are working it's a good thik they have. ,5.0,13
26,posted on 08 Aug 2020,Information Processing Specialist for 6 months in Bangalore, Anonymous · Current Employee · It Services Division    ,Dislikes Compensation benefits,Likes It's an absolute pleasure working in this company. They care for you like a family. Almost every alternate months they call you to make sure that you as well as your family is doing fine. ,5.0,13
27,posted on 09 Aug 2020,Trainee -Pharmacovigilance for 2 months in Mumbai, Anonymous · Current Employee · Drug Safety Division    ,Dislikes -,"Likes It's an amazing organization with full of talent's, happiness. The work culture is so awesome. I am happy to work and my trainers and Managers are very co-operative.",5.0,13
28,posted on 09 Aug 2020,It Analyst for 8.1 years in Mumbai, Anonymous · Current Employee · IT Division    ,Dislikes No respect for individual and lack of transparency in managers,Likes By micro management,1.0,13
29,posted on 27 Jul 2020,Technical Architect  in Thane, Anonymous · Ultimatix Division    ,Dislikes There won’t be anything that I hate abt Tata group. If you hate Tata group then you hate your motherland. It’s like Infosys founder till date they have photos of Great Tata’s in der life. They are example entrepreneurs with gold hearts. Love to Tata group.,Likes One of the best company to adopt new normal,5.0,13
30,posted on 29 Jul 2020,Workman/foreman/technician  in Haydrabad, Anonymous · Field Division    ,Dislikes Tcs company a good company. ,"Likes My childhood dream is to join a good company. But do not understand which company to go to, but oneday i had to talk about TCS company.Them my dream is that I should work in TCS company. So that i can take my dream and company to the top. At this time covid19 worried about the whole world, peoples  us are worried about it. At this tim TCS company who have thought about the people for job selection  appreciated. I thanks tcs company. ...Read More",3.0,14
31,posted on 22 Jul 2020,"Senior Technical Associate  in Belapur, Navi Mumbai", Anonymous · Operations Division    ,"Dislikes As a band TCS is good to work but if you want to work with different technologies and want to grow then the people at top will never give you opportunity for that.

Even they dont care what you actually looking for. Managers never appreciate your work even never give you release from a project, if you want to learn and grow with different technology.",Likes The policies for the employees will always change and those are good one,3.0,14
32,posted on 07 Aug 2020,Network Administrator for 2.8 years in Kochi, Anonymous · Current Employee · Infopark Division    ,"Dislikes As a band TCS is good to work but if you want to work with different technologies and want to grow then the people at top will never give you opportunity for that.

Even they dont care what you actually looking for. Managers never appreciate your work even never give you release from a project, if you want to learn and grow with different technology.","Likes Supporting each employee with necessary support.. They are delivering Computer to the home and also providing allowances for internet. 
And happy to say that.. TCS providing medical support for the employees that helping us alot..",5.0,14
33,posted on 01 Aug 2020,Senior Sales Executive for 6.3 years in Faridabad, Anonymous · Former Employee · Sales & Marketing Division    ,Dislikes There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. ,Likes Friends circle is very good,4.0,14
34,posted on 01 Aug 2020,System Engineer  in Noida, Anonymous · New Delhi Division    ,Dislikes There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. ,"Likes TCS Company support us in every situation, but some unexpected people make it worst for us and sometimes their behaviour stop us to reach our ambitions. This is only the bad fact about organisation otherwise I love to stay with TCS , I like it's rule and none security for it's employees",3.0,14
35,posted on 21 Jun 2020,It Analyst  in Chennai, Anonymous · It Development Division    ,"Dislikes With overall experience, the company will say they care about employees but in reality, nothing. A big nothing. They wont consider employee's opinion. Career growth and compensation is big joke. 

The company is functioning exactly opposite to how they project themselves in media.","Likes Worst. The management force you to come to office. They hide the covid positive cases in office in order to avoid panic and force you. If you are in quarantine or not willing to come to office, they force you to apply leaves. HR is useless.",1.0,14
36,posted on 28 Jun 2020,Java And PL-SQL Developer  in Bangalore, Anonymous · Banking & Finance Division    ,"Dislikes In many month end, my timesheet were not getting approve on time due which I use to get delay in salary payment. I was expecting to become a permanent emplyee in TCS after completing 1 year. But this did'nt happened, and my parent company also denied to give support during Covid-19 pandemic.",Likes I like the culture and infrastructure at Tata Consultancy Service. I am not getting any support from TCS since I was a C2H employee.,4.0,14
37,posted on 19 Jul 2020,"Pharmacovigilance Scientist I for 3 year in Mumbai, Maharashtra, India", Anonymous · Current Employee · Pharmacovigilance Division    ,"Dislikes I got good opportunities to grow at Tata Consultancy Services, the work environment is good, the work culture is good and Tata Consultancy Services is known for its job security!",Likes I have been working at Tata Consultancy Services since 3 years and 1 month and it has been a great experience working here!,5.0,14
38,posted on 09 Aug 2020,Software Developer for 2.5 years in Bengaluru, Anonymous · Current Employee · Public Sector Division    ,Dislikes Concerned about clients and not about employees health.,Likes Permanent job security but struggling to face HR when they call back to office during Covid19 cases increased drastically.,3.0,14
39,posted on 06 Aug 2020,Site Engineer Civil Or Civil Designer  in Lucknow, Anonymous · Site engineer Division    ,"Dislikes Do a good job, but if you do not go ahead with it, then it does not look good and you should meet on time. ","Likes Never worked in this company, I don't know, I can only speak so much, I think by doing this work, I will get to learn a lot and I will give my best Duga company ",3.0,14
40,posted on 04 Aug 2020,Sap Fico Functional Consultant  in Hyderabad, Anonymous · Finance Division    ,Dislikes Job Security is less,"Likes TCS is removed all the BA's( Contract People) From the Organization.
Please don't go for TCS ,The Job Security is Very Less for the BA;s People.

",3.0,15
41,posted on 03 Aug 2020,Associate  in Hyderabad, Anonymous · Banking Division    ,Dislikes No comments,Likes Having 5years experience with TCS. I am very proud to be an tcser.tcs have good policies and work environment.,5.0,15
42,posted on 08 Aug 2020,System Engineer  in Gurgaon, Anonymous · Cloud Infrastructure Division    ,Dislikes Nothing ,Likes This company help me in realising that our personal life also matters apart from professional life. Got some great help from superiors in getting ,5.0,15
43,posted on 02 Apr 2018,Senior Business Analyst  in Mumbai, Anonymous · Analytics and insights Division    ,"Dislikes I am writing this for analytics division based in NKP, Goregaon, Mumbai location.
Do not join this place unless you need a job very badly.
This is worst work culture I have come across in my career, the head of the department is the worst leader who do not how to even talk to employees and treat them as if the employees are servants. Therefore the same is done by his deputy. Shouting on employees is a common thing for these guys. They have a very weak knowledge base and do not know anything. As they are failed to bring any good project, thus trying to sell that the employees are very lucky that they got the documentation work and this will improve their career. I don't know how pathetic this sounds but if someone tells that this work is not good then the conclusion they draw is he/she is conspiring against them.

They will hire you by giving false information on the JD and in the interview say that you will get modelling work but in reality there is no work apart from documentation and little bit analysis (if you are lucky you will get this work). After joining when confronted about the promise they have made they will shamelessly say it was your call or can even shout on you.

Since there is no work, all the time they will monitor you like whether you are at desk or not even if you do not have any work and Creating bizzare rules like be seated 9 hours on your desk(other companies have it but only in rule book) else they will call the HR, do not talk with fellow team members ( as they think you are upto something against them), do not laugh as it disturb other employees. All these may sound impractical but these are 100% true my friends. 

The result of this kind of work culture is that, almost every financial year about 60 - 80% of employees resign.

There's a lot of bad experience I had here so I will recommend if possible never join to this location of Tcs, there are 99% chances are you will regret it.



...Read More","Likes Apart from job security nothing is good for those working in analytics at NKP, Mumbai location",1.0,15
44,posted on 28 Jun 2020,Consultant  in London, Anonymous · IT Division    ,"Dislikes Its saturated at the top and it has become feudalistic with each strap running their fiefdom. If you are part of the clique, it's great. If you are not, you will hit a glass ceiling soon","Likes Exceptionally high support during Covid.

Job is secure,  salary is on time, management assurance that everyone is safe reduces anxiety.

High level of communication and guidance

Involvement in various activity, bringing celebrities chef, mountaineers, athletes.

Ample support for psychological counseling.

Good platformsfor collaboration 

Above all else, in any and all decisions,  employee safety is kept as priority, even at the cost of business.

TCS should be rated as the top organisation, once it comes to support of employees during Covid ...Read More",5.0,15
45,posted on 29 Jul 2020,It Analyst for 1.6 years in Kochi, Anonymous · Current Employee · Information Technology Division    ,"Dislikes Its saturated at the top and it has become feudalistic with each strap running their fiefdom. If you are part of the clique, it's great. If you are not, you will hit a glass ceiling soon",Likes Comapny is very helpful and kind to employees during this pandemic situation. Job is well secured and I am happy to work as they have provided work from home strategy when this pandemic situation has started. They have also provided me the working envt at home to support their business.,5.0,15
46,posted on 04 Aug 2020,Major Incident Manager  in Hyderabad, Anonymous · Incident Management Division    ,"Dislikes Working culture, Management don't feel responsible to employee concern and Politics during the hikes and promotions.",Likes They gave antique computers for WFH.,1.0,15
47,posted on 12 Jul 2020,Financial  in Chennai, Anonymous · Financial Division    ,Dislikes TCS is unprofessional. They charge you premium and provide services that are not even close to amount you pay..,Likes Job security is the probability than  an individual will keep their job.,1.0,15
