,date,tital,user,dislike,like,rating,page_index
0,posted on 21 Jul 2020,Senior Software Engineer  in Powai Mumbai, Anonymous · IT Data Analytics Division    ,Dislikes Salary is very low but fine as it take care of lot of social cause around so its worth for then pay concern,Likes Nice TCS is helping a lot in social activity of work-life balance as well as good working culture,4.0,20
1,posted on 31 Jul 2020,Assistant System Engineer for 1.9 years in Pune, Anonymous · Former Employee · Supply Chain Management Division    ,Dislikes Growth rate in the initial years for freshers is low,"Likes It always support their employees,I get opportunity I would love to work again over here",5.0,20
2,posted on 16 Jul 2020,It Analyst  in Pune, Anonymous · Information Technology Division    ,Dislikes Growth rate in the initial years for freshers is low,Likes So far so good. They are sending machines to the employees who do not have company desktop or laptops. The HR calls once in a while to enquire about you and your family. They have provided quarantine centers in Ginger hotels for all TCS employees which is an Amazing initiative. This will help the families to stay safe. They have also updated the insurance for employees. I feel Tata is taking care of employees way beyond expectations....Read More,4.0,20
3,posted on 18 Jul 2020,Test Manager for 11.5 years in Thane, Anonymous · Current Employee · Software Testing Division    ,Dislikes TCS is not a good pay master and pay lesser than market standards. They have shifted they office in such a location that it is too much inconvenient to most of the employees,"Likes Job security with the company is comparatively good in the market, they have tie up with few centers for quarantine but the quantity is very less though....",3.0,20
4,posted on 24 Jul 2020,Systems Engineer  in Hyderabad , Anonymous · Telecom Division    ,Dislikes No thought about it.,Likes TCS is standing for us . It is giving belief in job security and understanding the situations very well during this pandemic . I’m happy to be part of TCS.,5.0,20
5,posted on 28 Jul 2020,Senior Associate  in Olympus, Anonymous · Operations Division    ,Dislikes Nothing all good. But sad that no increament given dis year due to pandemic.,Likes We are doing work from home from march. Its gng great so far.,5.0,20
6,posted on 18 Jul 2020,Senior Business Analyst  in Mumbai, Anonymous · Reporting Division    ,"Dislikes Almost everything. Your problems are not problems until it's their problem too. Too disorganised as an organisation. In TCS, relations > logic","Likes TCS is definitely not for freshers. If you're married, or pregnant, or old enough to soon retire then TCS is your perfect match. ",3.0,20
7,posted on 22 Jul 2020,Senior Associate  in Nagpur, Anonymous · SCM Division    ,"Dislikes Almost everything. Your problems are not problems until it's their problem too. Too disorganised as an organisation. In TCS, relations > logic",Likes It is honour to work with TCS. Its a great company were i can improve my ability and skills. In case of COVID-19 management are very careful about associate health and safety and always ready to provide help. ,5.0,20
8,posted on 29 Jul 2020,Assistant Consultant for 5.7 years in Bangalore, Anonymous · Current Employee · Engineering Services Division    ,Dislikes Nothing as such till now. Great place to work.,Likes Flexible working hours & freedom in work execution.,5.0,20
9,posted on 25 Oct 2019,Process Executive  in Bangalore, Anonymous · Payroll department Division    ,Dislikes No need to explain,"Likes I would like to say that I worked but I say that   I'm still working in TCS .So I would like to take these things step by step.First about Teammates ; My Teammates are all cooperative , supportive and helping hands and I learnt a lot from them . Second thing is training that I learnt lot of new things such as innovativeness, creativity, and hands on all the training modules such as Payroll, Employee concerns, Billing modules and handling the Esacalation calls and concerns .
Third thing is job security I would like to say so in my 4 years In TCS I think TCS is only company which is 100% job security company .
Fourth point I can highlight is career growth no doubt there is career growth but past couple of years TCS is not giving that much hike .in terms of career growth it's ok but on hiking it's very weak.
Rest all salary/appraisal ,travel,politics, learning,work environment, innovation,work life balance etc on all these scanrios TCS very good and more it's Employee oriented company..
I hope it's enough.If you want anything else then please send me an email 
Thanks and regards,
Naser Islam. ...Read More",5.0,20
